,0,1,2,3,4,5,6,7,8,9,10,11,12
59,ANIMALS,FREQ,GEO,INDICATORS,OBS_FLAG,TIME,UNIT,,,,,,
60,DAIRYPROD,FREQ,GEO,INDICATORS,MILKITEM,OBS_FLAG,TIME,,,,,,
61,CURRENCY,FREQ,GEO,INDICATORS,OBS_FLAG,PROD_ANI,TIME,,,,,,
62,CURRENCY,FREQ,GEO,INDICATORS,OBS_FLAG,PROD_VEG,TIME,,,,,,
63,CURRENCY,FREQ,GEO,INDICATORS,OBS_FLAG,PROD_APR,TIME,,,,,,
64,CURRENCY,FREQ,GEO,INDICATORS,OBS_FLAG,PROD_APR,TIME,,,,,,
65,CURRENCY,FREQ,GEO,INDICATORS,OBS_FLAG,PROD_APR,TIME,,,,,,
66,CURRENCY,FREQ,GEO,INDICATORS,OBS_FLAG,PROD_APR,TIME,,,,,,
67,CURRENCY,FREQ,GEO,INDICATORS,OBS_FLAG,PROD_APR,TIME,,,,,,
68,CURRENCY,FREQ,GEO,INDICATORS,OBS_FLAG,PROD_APR,TIME,,,,,,
69,CURRENCY,FREQ,GEO,INDICATORS,OBS_FLAG,PROD_INP,TIME,,,,,,
70,AGRIPROD,FREQ,GEO,INDICATORS,OBS_FLAG,TIME,UNIT,,,,,,
71,AGRIPROD,FREQ,GEO,INDICATORS,OBS_FLAG,TIME,UNIT,,,,,,
72,AGRIPROD,FREQ,GEO,INDICATORS,OBS_FLAG,TIME,UNIT,,,,,,
73,AGRIPROD,FREQ,GEO,INDICATORS,OBS_FLAG,TIME,UNIT,,,,,,
74,FREQ,GEO,INDICATORS,OBS_FLAG,PRODUCT,P_ADJ,TIME,UNIT,,,,,
75,FREQ,GEO,INDICATORS,OBS_FLAG,PRODUCT,P_ADJ,TIME,UNIT,,,,,
76,FREQ,GEO,INDICATORS,OBS_FLAG,PRODUCT,P_ADJ,TIME,UNIT,,,,,
77,FREQ,GEO,INDICATORS,OBS_FLAG,PRODUCT,P_ADJ,TIME,UNIT,,,,,
78,FREQ,GEO,INDICATORS,OBS_FLAG,PRODUCT,P_ADJ,TIME,UNIT,,,,,
79,FREQ,GEO,INDICATORS,OBS_FLAG,PRODUCT,P_ADJ,TIME,UNIT,,,,,
80,FREQ,GEO,INDICATORS,OBS_FLAG,PRODUCT,P_ADJ,TIME,UNIT,,,,,
81,FREQ,GEO,INDICATORS,OBS_FLAG,PRODUCT,P_ADJ,TIME,UNIT,,,,,
82,FREQ,GEO,INDICATORS,OBS_FLAG,PRODUCT,P_ADJ,TIME,UNIT,,,,,
83,FREQ,GEO,INDICATORS,OBS_FLAG,PRODUCT,P_ADJ,TIME,UNIT,,,,,
84,FREQ,GEO,INDICATORS,OBS_FLAG,PRODUCT,P_ADJ,TIME,UNIT,,,,,
85,FREQ,GEO,INDICATORS,OBS_FLAG,PRODUCT,P_ADJ,TIME,UNIT,,,,,
86,FREQ,GEO,INDICATORS,OBS_FLAG,PRODUCT,P_ADJ,TIME,UNIT,,,,,
87,FREQ,GEO,INDICATORS,OBS_FLAG,PRODUCT,P_ADJ,TIME,UNIT,,,,,
88,FREQ,GEO,INDICATORS,OBS_FLAG,PRODUCT,P_ADJ,TIME,UNIT,,,,,
89,FREQ,GEO,INDICATORS,OBS_FLAG,PRODUCT,P_ADJ,TIME,UNIT,,,,,
90,FREQ,GEO,INDICATORS,OBS_FLAG,PRODUCT,P_ADJ,TIME,UNIT,,,,,
91,FREQ,GEO,INDICATORS,OBS_FLAG,PRODUCT,P_ADJ,TIME,UNIT,,,,,
92,FREQ,GEO,INDICATORS,IND_OUTP,OBS_FLAG,P_ADJ,TIME,UNIT,,,,,
93,FREQ,GEO,INDICATORS,IND_OUTP,OBS_FLAG,P_ADJ,TIME,UNIT,,,,,
94,FREQ,GEO,INDICATORS,IND_INPU,OBS_FLAG,P_ADJ,TIME,UNIT,,,,,
95,FREQ,GEO,INDICATORS,IND_INPU,OBS_FLAG,P_ADJ,TIME,UNIT,,,,,
96,FREQ,GEO,INDICATORS,IND_INPU,OBS_FLAG,TIME,UNIT,,,,,,
97,FREQ,GEO,INDICATORS,IND_OUTP,OBS_FLAG,TIME,UNIT,,,,,,
98,CROPS,FREQ,GEO,INDICATORS,OBS_FLAG,STK_FLOW,TIME,UNIT,,,,,
99,CROPS,FREQ,GEO,INDICATORS,OBS_FLAG,STK_FLOW,TIME,UNIT,,,,,
100,CROPS,FREQ,GEO,INDICATORS,OBS_FLAG,STRUCPRO,TIME,,,,,,
101,CROPS,FREQ,GEO,INDICATORS,OBS_FLAG,STRUCPRO,TIME,,,,,,
102,CROPS,FREQ,GEO,INDICATORS,OBS_FLAG,STRUCPRO,TIME,,,,,,
103,CROPS,FREQ,GEO,INDICATORS,OBS_FLAG,STRUCPRO,TIME,,,,,,
104,CROPS,FREQ,GEO,INDICATORS,OBS_FLAG,STRUCPRO,TIME,,,,,,
105,CROPS,FREQ,GEO,INDICATORS,OBS_FLAG,STRUCPRO,TIME,,,,,,
106,AGRIPROD,FREQ,GEO,INDICATORS,OBS_FLAG,OPERATOR,TIME,UNIT,,,,,
